Nom du client,Delivery_Method,Unique_Site_Identifier,Code IPACT,No de site,Nomdesite,Adresse,Suffixe,Rue,Ville,Postal code,Prov,In Territory,Access Type,Speed,NPANXX,Tier,Delivery Method,RFP Lot,SupplierName From Real Time,Package,Management Level,IPACT - MR COGS,IPACT - NR COGS,COGS(long),MRC inv. Oct '19,OLD MRC - Don't use,SC1,SC2-GL,SC2-PB,SC3-GL,SC3-PB,SC4,SC5-GL,SC5-PB,SC6-GL,SC6-PB,CMO GM,CMO+50% GM,CMO+50%,MRC for cost,MRC for 15% margin,Off-net Cat
Loto-Québec,Off-Net (ReSale),0000000000044144-0002,4414,4-0002,08299-RMKI1-CE1,99,RUE,DE L'ÉGLISE,SAYABEC,G0J3K0,QC,Non,DSL VPN,64 Kbps,418536,4,Off-Net (ReSale),Lot4,TELUS Quebec,Enhanced,NetControl,75,225,79.82,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,Off-Net (ReSale),0000000000044143-0002,4414,3-0002,08295-RMKI1-CE1,43,BOUL,JOUBERT,SAYABEC,G0J3K0,QC,Non,DSL VPN,64 Kbps,418536,4,Off-Net (ReSale),Lot4,TELUS Quebec,Enhanced,NetControl,75,225,79.82,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,Off-Net (ReSale),0000000000044142-0002,4414,2-0002,03850-RMKI1-CE1,50,BD E,Joubert,Sayabec,G0J3K0,QC,Non,DSL VPN,64 Kbps,418536,4,Off-Net (ReSale),Lot4,TELUS Quebec,Enhanced,NetControl,,,79.82,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,Off-Net (ReSale),0000000000044141-0002,4414,1-0002,02686-RMKI1-CE1,76,Rue,Lacroix,Sayabec,G0J3K0,QC,Non,DSL VPN,64 Kbps,418536,4,Off-Net (ReSale),Lot4,TELUS Quebec,Enhanced,NetControl,75,225,79.82,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,On-Net,0000000000041476-0002,4147,6-0002,01188-VALDOR-CE1,421,AV,10E,SANNETERRE,J0Y2M0,QC,Non,DSL VPN,64 Kbps,819737,4,On-Net,Lot1,Independent Settlements,Enhanced,NetControl,0,0,93.8,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,Off-Net (ReSale),00000000000477423-0003,4774,23-0003,02652-STMAB-CE1,35,Rue N,Principale,Saint-Pamphile,G0R3X0,QC,Non,DSL VPN,64 Kbps,418356,4,Off-Net (ReSale),Lot4,TELUS Quebec,Enhanced,NetControl,75,225,79.82,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,Off-Net (ReSale),0000000000046982-0002,4698,2-0002,03490-STMAB-CE1,102-A,AV E,1,Saint-Martin-de-Beauce,G0M1B0,QC,Non,DSL VPN,64 Kbps,418382,4,Off-Net (ReSale),Lot4,TELUS Quebec,Enhanced,NetControl,75,225,79.82,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,Off-Net (ReSale),0000000000044115-0002,4411,5-0002,03583-RMKI1-CE1,228,Rue,Gendron,Saint-Léon-Le-Grand,G0J2W0,QC,Non,DSL VPN,64 Kbps,418743,4,Off-Net (ReSale),Lot4,TELUS Quebec,Enhanced,NetControl,75,225,79.82,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,On-Net,000000000003054439-0002,3054,439-0002,16333-ARTHBK-CE1,405,,Principale,Saint-Léonard-d'Aston,J0C1M0,QC,Non,DSL VPN,64 Kbps,819399,3,On-Net,Lot3,Independent Settlements,Enhanced,NetControl,,,93.8,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,On-Net,0000000000046457-0002,4645,7-0002,02021-ARTHBK-CE1,18,Rue,Ouellet,Saint-Léonard-d'Aston,J0C1M0,QC,Non,DSL VPN,64 Kbps,819399,3,On-Net,Lot3,Independent Settlements,Enhanced,NetControl,,,93.8,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,On-Net,0000000000046456-0002,4645,6-0002,00887-ARTHBK-CE1,580,Rue,De La Station,Saint-Léonard-D'Aston,J0C1M0,QC,Non,DSL VPN,64 Kbps,819399,3,On-Net,Lot3,Independent Settlements,Enhanced,NetControl,,,93.8,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,Off-Net (ReSale),00000000000435014-0003,4350,14-0003,03174-STHYA-CE1,4985,BD O,Laurier,Saint-Hyacinthe,J2S3V4,QC,Non,DDS,56 Kbps,450799,4,Off-Net (ReSale),Lot3,Independent Settlements,High Performance,NetControl,245,380,110.92,92,92,138,1060.2,2006.6,743,1419,138,1060.2,2006.6,743,1419,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,Off-Net (ReSale),0000000000043662-0002,4366,2-0002,03655-RMKI1-CE1,340,Rue,Principale,Saint-Gabriel,G0K1M0,QC,Non,DSL VPN,64 Kbps,418798,4,Off-Net (ReSale),Lot4,TELUS Quebec,Enhanced,NetControl,75,225,79.82,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,Off-Net (ReSale),00000000000477418-0002,4774,18-0002,02409-STMAB-CE1,358,Sud,Principale,Sainte-Perpétue-De-L'Islet,G0R3Z0,QC,Non,DSL VPN,64 Kbps,418359,4,Off-Net (ReSale),Lot4,TELUS Quebec,Enhanced,NetControl,75,225,79.82,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,On-Net,00000000000435613-0002,4356,13-0002,03175-STHYA-CE1,685,Rue,Principale,Sainte-Hélène-De-Bagot,J0H1M0,QC,Non,DDS,56 Kbps,450791,4O,On-Net,Lot3,Independent Settlements,High Performance,NetControl,,,102.08,92,92,138,1060.2,2006.6,743,1419,138,1060.2,2006.6,743,1419,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,Off-Net (ReSale),0000000000047385-0002,4738,5-0002,03789-STMAB-CE1,447,CH E,DE LA RIVIÈRE-ETCHEMIN,Sainte-Claire,G0R2V0,QC,Non,DSL VPN,64 Kbps,418883,4,Off-Net (ReSale),Lot4,TELUS Quebec,Enhanced,NetControl,75,225,79.82,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
